한글,French,Example Sentence,Translated Sentence,Explanation
입학하다,entrer (dans un établissement),3월에 대학에 입학했어요.,Je suis entré(e) à l’université en mars.,Étape d’admission officielle. Opposé: 졸업하다.
졸업장,diplôme (document),졸업장을 받았어요.,J’ai reçu mon diplôme.,Document officiel attestant la fin d’études.
캠퍼스,campus,캠퍼스가 정말 넓어요.,Le campus est très grand.,Ensemble des bâtiments universitaires.
학번,année de promo,제 학번은 21학번이에요.,Ma promo est 2021.,Marque l’année d’entrée (ex: 21학번 = promo 2021).
관심,intérêt,사회 문제에 관심이 많아요.,Je m’intéresse aux problèmes sociaux.,Peut prendre des compléments avec 에.
떡볶이,tteokbokki (gâteau de riz pimenté),학교 앞 떡볶이가 맛있어요.,Le tteokbokki devant l’école est bon.,Snack populaire près des campus.
문구류,papeterie (articles),문구류를 대량으로 샀어요.,J’ai acheté beaucoup d’articles de papeterie.,"Stylos, carnets, trombones, etc."
미용실,salon de coiffure,학교 근처 미용실에 갔어요.,Je suis allé au salon près du campus.,"Pour coupe, soins, teinture."
방청객,public (plateau TV/radio),방청객으로 참여했어요.,J’ai participé comme public.,Spectateurs en studio.
시절,"époque, période",대학 시절이 그립네요.,La période universitaire me manque.,Souvent nostalgique (어린 시절).
유행,"tendance, mode",요즘 유행이에요.,C’est à la mode en ce moment.,"Noms: 유행곡, 유행어."
유행하다,être à la mode,그 스타일이 유행해요.,Ce style est à la mode.,Verbe dérivé de 유행.
주제,"sujet, thème",발표 주제가 뭐예요?,Quel est le sujet de la présentation ?,"Thème de cours, mémoire, débat."
지사장,directeur de filiale,그는 서울 지사장이에요.,Il est le directeur de la filiale de Séoul.,Entreprise: chef d’antenne régionale.
출연자,"intervenant, participant (émission)",출연자 명단을 공개했어요.,La liste des participants a été publiée.,TV/radio/événements.
진행하다,animer un programme (TV),프로그램을 진행했어요.,J’ai animé le programme.,Aussi “faire avancer” un projet.
국제 대학원,école doctorale/masters internationale,국제 대학원에 진학했어요.,J’ai intégré une graduate school internationale.,"Programmes anglophones, étudiants étrangers."
꿈을 이루다,réaliser un rêve,드디어 꿈을 이뤘어요.,J’ai enfin réalisé mon rêve.,Expression positive très courante.
방송 아카데미,académie des médias (broadcasting),방송 아카데미에서 수업을 들었어요.,J’ai suivi des cours à une académie de médias.,Formations pratiques pour TV/radio/MC.
볼일이 있다,avoir des choses à faire,오늘은 볼일이 좀 있어요.,J’ai des trucs à faire aujourd’hui.,“Affaires personnelles” vagues; excuse neutre.
해외 연수,stage/formation à l’étranger,해외 연수를 다녀왔어요.,J’ai fait une formation à l’étranger.,Séjours courts d’études/entreprise.
맞긴 한데.....,"c’est vrai, mais…",맞긴 한데 조금 아쉬워요...,"C’est pas faux, mais c’est un peu dommage…",Concession + réserve; registre conversationnel.
이게 얼마 만이에요?,Ça fait combien de temps !,"우와, 이게 얼마 만이에요?","Wow, ça fait si longtemps !",Retrouvailles chaleureuses; très naturel.
너희,vous (pluriel familier),너희 어디 가?,Vous allez où ?,Familier entre proches; formel: 여러분/너희들 (entre amis).
데모,démo; manifestation (selon contexte),게임 데모를 해 봤어요.,J’ai essayé la démo du jeu.,“Manifestation” = 시위/데모. Contexte clarifie.
막걸리,makgeolli (vin de riz),막걸리에 파전이 최고죠.,"Makgeolli avec pancake coréen, le top.","Boisson traditionnelle, souvent associée aux sorties."
돌아다니다,"vadrouiller, circuler",캠퍼스를 돌아다녔어요.,J’ai flâné sur le campus.,"Mouvement informel, sans but précis."
머리를 기르다,laisser pousser les cheveux,머리를 길렀어요.,J’ai laissé pousser mes cheveux.,Opposé: 머리를 자르다.
사회 문제,problème de société,사회 문제에 대해 토론했어요.,On a débattu de questions sociales.,"Économie, inégalités, environnement, etc."
그렇죠?,n’est‑ce pas ?,그게 더 낫죠?,"C’est mieux, n’est‑ce pas ?",Marque l’accord/confirmation.
결론,conclusion,결론을 내리기 어렵네요.,Difficile de tirer une conclusion.,"Fin d’exposé, décision finale."
대상,grand prix; cible/objet,대상 수상작을 발표했어요.,On a annoncé le lauréat du Grand Prix.,En concours/festivals: grand prix; sinon “cible” (연구 대상).
대상을 받다,recevoir le grand prix,그 작품이 대상을 받았어요.,Cette œuvre a reçu le grand prix.,Formule fixe de récompense.
이불,"couette, couverture",이불을 털어서 말렸어요.,J’ai secoué et séché la couette.,Linge de lit; “이불 킥” = regret tardif (idiome).
이불을 뒤집어쓰다,se cacher sous la couette,창피해서 이불을 뒤집어썼어요.,"Honteux, je me suis caché sous la couette.",Expression vivante pour gêne intense.
제도,"système, policy",교육 제도를 개편했어요.,Le système éducatif a été réformé.,Contexte détermine: institutionnel ou “dessin technique”.
철학,philosophie,인생 철학을 정리했어요.,J’ai clarifié ma philosophie de vie.,Aussi matière scolaire/universitaire.
후회,regret,후회가 많이 남아요.,J’ai beaucoup de regrets.,Sentiment post‑action.
후회하다,regretter,그렇게 말한 걸 후회해요.,Je regrette d’avoir dit ça.,Verbe d’émotion; souvent avec -게 되다.
다투다,se disputer,사소한 일로 다퉜어요.,On s’est disputés pour un rien.,Conflit verbal; plus fort que 언쟁하다.
반대하다,s’opposer,그 의견에 반대해요.,Je m’oppose à cette opinion.,Verbe d’avis; politique/projet/décision.
비다,être vide,강의실이 비었어요.,La salle de cours est vide.,Adjectif d’état.
빈 강의실,salle de cours vide,빈 강의실에서 공부했어요.,J’ai étudié dans une salle vide.,Collocation naturelle.
쓰러지다,"s’effondrer, tomber (épuisement)",무리하다 쓰러졌어요.,Il s’est effondré d’épuisement.,Santé/accident; dramatique.
응원하다,"encourager, soutenir",친구를 응원했어요.,J’ai encouragé mon ami.,"Sport, concours, projets personnels."
(대해서) 토론하다,débattre (de),사회 문제에 대해서 토론했어요.,On a débattu de problèmes sociaux.,Construction: N에 대해서 토론하다.
화해하다,se réconcilier,결국 화해했어요.,"Finalement, on s’est réconciliés.",Fin d’un conflit; retrouvailles.
관계없다,n’avoir aucun rapport; peu importe,시간은 상관없고 장소는 관계없어요.,"L’heure m’importe peu, le lieu m’est égal.",Souvent avec -랑/-와 관계없다 = sans rapport.
몰래,"en cachette, secrètement",몰래 선물을 준비했어요.,J’ai préparé un cadeau en secret.,Adverbe de discrétion; peut être neutre/négatif selon contexte.
무엇보다도,"avant tout, surtout",무엇보다도 건강이 중요해요.,"La santé, avant tout.",Sert à hiérarchiser un argument.
소홀히 하다,négliger,학업을 소홀히 했어요.,J’ai négligé mes études.,Manque d’attention/soin; registre plutôt formel.
,,,,
8과,,,,
작심삼일,résolution qui ne dure que 3 jours,또 작심삼일로 끝났어요.,Ma résolution n’a encore duré que trois jours.,Idiome sur la difficulté à tenir ses engagements.
그만두고 싶었던 적이 한두 번이 아니에요,Ce n’est pas une ou deux fois que j’ai voulu tout arrêter,힘들 때마다 그만두고 싶었던 적이 한두 번이 아니에요.,"À chaque difficulté, j’ai souvent eu envie d’abandonner.",Tour intensif “한두 번이 아니다” = très souvent.
며칠 하다가 그만두곤 해요,Je fais quelques jours puis j’abandonne souvent,운동은 며칠 하다가 그만두곤 해요.,"Le sport, je commence quelques jours puis j’arrête.",Habitude récurrente avec “-곤 하다”.
시작이 반이라고 하잖아요,"On dit que commencer, c’est déjà la moitié",시작이 반이라고 하잖아요. 일단 시작해요.,"On dit que le début, c’est la moitié. Commençons.",Proverbe motivant.
논문,"mémoire, thèse",논문 마감을 앞두고 있어요.,J’approche la deadline de ma thèse.,Travail académique long; collocations: 논문 제출/심사.
세월,le temps (qui passe) =  durée,세월이 참 빠르네요.,Le temps passe si vite.,Nuance poétique/nostalgique.
일자리,job openings,좋은 일자리를 찾고 있어요.,Je cherche un bon emploi.,Terme socio‑éco pour opportunités d’emploi.
돌아보다,rétrospecter,한 해를 돌아보니 많이 배웠어요.,"En regardant l’année passée, j’ai beaucoup appris.",Sens concret et figuré.
복학하다,reprendre ses études (après interruption),군 복무 후 복학했어요.,J’ai repris mes études après le service.,Opposé: 휴학하다 (interrompre).
완성하다,"achever, finaliser",계획서를 완성했어요.,J’ai finalisé le plan.,"Produit fini, complet."
진학하다,poursuivre des études (au niveau supérieur),대학원에 진학했어요.,J’ai poursuivi en master/doctorat.,Passage à un cycle supérieur.
오히려,"au contraire, plutôt",늦게 시작해서 오히려 집중이 잘 돼요.,"En commençant tard, je me concentre mieux.",Marque un résultat inverse à l’attendu.
운전 면허증,permis de conduire,운전 면허증을 갱신했어요.,J’ai renouvelé mon permis.,Document officiel; souvent abrégé 면허증.
운전 면허증을 따다,obtenir le permis,이번 달에 운전 면허증을 땄어요.,J’ai obtenu mon permis ce mois‑ci.,Verbe courant: ~을/를 따다 (décrocher).
음식점을 차리다,ouvrir un restaurant,작은 음식점을 차릴 계획이에요.,Je prévois d’ouvrir un petit resto.,“차리다” = monter/établir (entreprise).
그동안 고마웠어요,Merci pour tout pendant ce temps,그동안 고마웠어요. 많이 배웠어요.,Merci pour tout; j’ai beaucoup appris.,"Polie, en clôture d’une période."
무슨 말씀을요,"Mais voyons, de rien",무슨 말씀을요. 제가 더 감사해요.,"Mais voyons, c’est moi qui vous remercie.",Réponse humble à un remerciement/éloge.
세월이 참 빠른 것 같아요,Le temps passe vraiment vite,"벌써 졸업이라니, 세월이 참 빨라요.",Déjà la remise de diplôme… le temps file.,Variation de “세월이 빠르다”.
오히려 제가 감사하죠,C’est plutôt moi qui vous remercie,오히려 제가 감사하죠. 많이 도와주셨어요.,C’est plutôt moi qui suis reconnaissant.,Formule de politesse humble.
상,"prix, récompense",공모전에서 상을 받았어요.,J’ai reçu un prix au concours.,"Catégories: 대상, 금상, 은상, 동상…"
티켓,"billet, ticket",콘서트 티켓을 구했어요.,J’ai obtenu un ticket de concert.,Emprunt anglais; contexte spectacles/transport.
노력하다,faire des efforts,끝까지 노력해 봅시다.,Faisons des efforts jusqu’au bout.,Valeur clé en contexte d’étude/travail.
뛰다,courir; exceller (fam.),실력이 뛰어요.,Il/Elle est excellent(e).,Adjectival: “뛰어나다” = remarquable.
실천하다,mettre en pratique,계획을 세우고 실천하세요.,Faites un plan et mettez‑le en pratique.,Passer de l’intention à l’action.
열리다,"s’ouvrir, avoir lieu",내일 회의가 열려요.,Une réunion a lieu demain.,Forme passive naturelle pour événements.
대회가 열리다,un concours a lieu,전국 대회가 이번 주에 열려요.,Le championnat national a lieu cette semaine.,Collocation fixe avec 열리다.
게으르다,être paresseux,게으르면 실천이 어렵죠.,"Quand on est flemmard, agir est difficile.",Adjectif d’état; contraire: 부지런하다.
1등 (일등),"première place, n°1",수학 경시대회에서 1등 했어요.,J’ai fait premier au concours de maths.,S’emploie aussi pour “première place” au classement.
작년 초,début de l’an dernier,작년 초에 프로젝트를 시작했어요.,J’ai démarré le projet début l’an dernier.,Marqueur temporel précis.
건강 관리,gestion de la santé,요즘 건강 관리를 철저히 해요.,Je gère ma santé de manière stricte.,"Somme d’habitudes (sommeil, sport, alimentation)."
성적표,relevé de notes,성적표를 발급받았어요.,J’ai obtenu mon relevé de notes.,Document officiel des notes.
실력,"compétence, niveau",실력이 많이 늘었네요.,Ton niveau a beaucoup monté.,Mesure qualitative de performance.
실력이 늘다,voir son niveau augmenter,꾸준히 해서 실력이 늘었어요.,"À force de régularité, mon niveau a monté.",Collocation très fréquente.
실망,déception,결과에 실망이 컸어요.,La déception a été grande.,Nom; verbe associé: 실망하다/실망을 하다.
실망을 하다,être déçu,자신에게 실망을 했어요.,J’ai été déçu de moi‑même.,Variante explicite avec objet.
전공과목,matière de spécialité,전공과목 위주로 들었어요.,J’ai surtout pris des matières de spécialité.,Cours liés au major; ≠ 교양과목 (tronc commun).
주위,alentours; entourage,주위의 조언을 들었어요.,J’ai écouté les conseils de mon entourage.,Espace ou cercle relationnel selon contexte.
주위 사람,les personnes de l’entourage,주위 사람들이 많이 도와줬어요.,Mon entourage m’a beaucoup aidé.,"Famille, amis, collègues, mentors…"
최고,le meilleur,올해는 진짜 최고였어요.,Cette année était vraiment la meilleure.,Superlatif courant; emphatique.
최고의 해,la meilleure année,올해를 최고의 해로 만들자.,Faisons de cette année la meilleure.,Expression motivante/bilan.
과/와 어울리다,aller bien avec; s’entendre avec,이 색이 그 옷과 잘 어울려요.,Cette couleur va bien avec ces vêtements.,Particule 과/와 pour le complément; aussi “s’entendre (사람과)”.
친구들과 어울리다,traîner/s’entendre avec des amis,주말에 친구들과 어울렸어요.,J’ai passé du temps avec des amis le week‑end.,Collocation sociale naturelle.
소중하다,être précieux,시간이 가장 소중해요.,Le temps est ce qu’il y a de plus précieux.,"Valeur, importance émotionnelle."
한 해,une année,한 해를 잘 마무리합시다.,Clôturons bien l’année.,Souvent dans bilans de fin d’année.
소홀히 대하다,traiter avec négligence,고객을 소홀히 대하면 안 됩니다.,Il ne faut pas négliger les clients.,“소홀히 하다” appliqué à autrui; registre formel.
