한글,French,Example Sentence,Translated Sentence,Explanation
뒤로 돌다,to turn around,뒤로 돌아서 100미터 가세요.,Faites demi-tour et allez 100 mètres.,뒤 = derrière + 돌다 = tourner. Instruction pour faire face à la direction opposée.
건물을 끼고 돌다,to turn at the corner of the building,저 건물을 끼고 오른쪽으로 돌아요.,Tournez à droite au coin de ce bâtiment.,끼다 = coller/longer + 건물 = bâtiment. Instruction détaillée pour tourner en longeant un bâtiment précis.
오른쪽으로 돌다,to turn right,다음 신호에서 오른쪽으로 돌아요.,Tournez à droite au prochain signal.,오른쪽 = droite + 돌다 = tourner. Instruction de navigation très fréquente.
정면에 있다,to be right in front of (someone),학교가 정면에 있어요.,L'école est juste en face.,"정면 = face avant/face. Indique que quelque chose est directement devant soi, sans déviation."
찾다가 잘 모르겠으면 다시 전화해요,Call me back if you have trouble finding it,찾다가 잘 모르겠으면 다시 전화해요. 기다릴게요.,"Si tu as du mal à trouver, rappelle-moi. Je t'attendrai.",Expression bienveillante pour rassurer quelqu'un qui cherche un lieu. Très naturelle dans les échanges informels.
어디 갈 만한 데 알아요?,Do you know any places worth going to?,이 근처에 어디 갈 만한 데 알아요?,Connaissez-vous des endroits qui valent le coup par ici ?,-ㄹ 만한 = qui vaut la peine de. Expression pour demander des recommandations de lieux.
미술 학원,art academy,아이가 미술 학원에 다니고 있어요.,Mon enfant va à un atelier d'art.,"학원 = école privée/académie. Les 학원 sont très populaires en Corée (수학, 영어, 미술, 음악...)."
길을 따라 가다,to follow the road,이 길을 따라 죽 가세요.,Suivez cette route tout droit.,길 = rue/chemin + 따라 = en suivant. Instruction simple pour indiquer un itinéraire à pied.
길을 따라 걷다,to walk along the road,강변을 따라 걸었어요.,On a marché le long de la rivière.,걷다 = marcher. Met l'accent sur l'action de marcher en longeant un chemin ou cours d'eau.
골목,"side street, alley",골목 안에 작은 카페가 있어요.,Il y a un petit café dans la ruelle.,Petite rue secondaire entre les immeubles. Les golmok coréens sont souvent charmants et pleins de petites boutiques.
지나가다,to pass by,편의점을 지나가면 바로 있어요.,C'est juste après avoir dépassé le convenience store.,지나다 = passer + 가다 = aller. Dépasser un point de repère lors d'un trajet.
평범하다,to be ordinary,외관은 평범하지만 음식이 맛있어요.,L'extérieur est ordinaire mais la nourriture est délicieuse.,Qualifie quelque chose de banal sans caractéristique particulière. Ni bon ni mauvais spécialement.
3층짜리 건물,a three-storey building,3층짜리 건물 앞에서 기다려요.,Je t'attends devant le bâtiment de trois étages.,-짜리 = en indique la taille/valeur (aussi 천 원짜리 = pièce de 1000 wons).
눈에 잘 안 띄어요,It doesn't stand out.,간판이 작아서 눈에 잘 안 띄어요.,L'enseigne est petite donc ça ne saute pas aux yeux.,눈에 띄다 = se faire remarquer + 안 = négation. Très utile quand un lieu est difficile à repérer.
세로로 쓰여 있다,to be written vertically,간판이 세로로 쓰여 있어요.,L'enseigne est écrite verticalement.,세로 = vertical + 로 = en direction de + 쓰여 있다 = être écrit. Traditionnellement le coréen s'écrivait de haut en bas.
-이 붙어 있다,"to be attached to -, to be stuck to -",문에 안내문이 붙어 있어요.,Un avis est affiché sur la porte.,붙다 = être collé/attaché + -어 있다 = état résultant. Décrit quelque chose fixé à une surface.
마음껏,to one's heart's content,마음껏 드세요!,Mangez autant que vous voulez !,"마음 = cœur/esprit + 껏 = pleinement. Indique qu'on peut faire quelque chose sans limite, à sa guise."
ㄷ자 모양,in the shape of a ㄷ,건물이 ㄷ자 모양으로 되어 있어요.,Le bâtiment est en forme de ㄷ.,Utilisation de la lettre coréenne ㄷ pour décrire une forme en U ouvert d'un côté. Très coréen comme repère!
천장이 높다,to have a high ceiling,이 카페는 천장이 높아서 시원해요.,Ce café a un plafond haut ce qui le rend aéré.,천장 = plafond + 높다 = être haut. Caractéristique architecturale qui donne une sensation d'espace et de modernité.
갤러리,art gallery (콩글리쉬),갤러리에서 전시회를 봤어요.,J'ai vu une exposition dans une galerie d'art.,"Emprunt de l'anglais « gallery ». En coréen standard on dirait 화랑 ou 미술관, mais 갤러리 est très courant."
우동,udon,우동 한 그릇 시킬게요.,Je vais commander un bol d'udon.,"Nouilles épaisses japonaises très populaires en Corée. On les sert en soupe (국물 우동) ou sautées."
튀김,deep-fried food,우동에 튀김을 곁들여 먹었어요.,On a mangé des tempuras avec l'udon.,"Aliments frits dans une pâte légère. Accompagnement courant avec l'udon ou le 떡볶이."
양쪽,both sides (e.g.. street),길 양쪽에 벚꽃이 피어 있어요.,Des cerisiers sont en fleurs des deux côtés de la rue.,양쪽 = les deux côtés. S'utilise pour indiquer que quelque chose se trouve sur les deux rives ou faces.
기둥,a pillar or column (supporting the roof),건물 앞에 기둥이 있어요.,Il y a des piliers à l'entrée du bâtiment.,Élément architectural vertical porteur. Peut désigner aussi un poteau ou une colonne décorative.
정수장,water treatment plant,이 공원은 옛날 정수장 자리예요.,Ce parc était autrefois l'emplacement d'une station de traitement des eaux.,Lieu où l'eau est purifiée avant distribution. Certains anciens 정수장 à Séoul ont été transformés en parcs.
재활용하다,to recycle,병과 캔은 꼭 재활용해야 해요.,Il faut absolument recycler les bouteilles et les canettes.,재활용 = réutilisation/recyclage + 하다. Pratique obligatoire et très répandue en Corée.
최초,the very first,이 공원은 한국 최초의 생태 공원이에요.,Ce parc est le tout premier parc écologique de Corée.,최초 = le tout premier. Souligne un caractère pionnier et historique.
생태 공원,ecological park,생태 공원에서 다양한 동물을 볼 수 있어요.,On peut voir divers animaux dans un parc écologique.,생태 = écologie + 공원 = parc. Espace naturel préservé intégrant des espèces locales.
촬용지,"movie set, filming location",그 드라마의 촬영지를 방문했어요.,J'ai visité le lieu de tournage de ce drame.,"촬영 = tournage/prise de vue + 지 = lieu. Les lieux de tournage de dramas sont des destinations touristiques populaires en Corée."
잘 꾸며져 있다,to be nicely decorated,공원이 잘 꾸며져 있어서 예뻐요.,Le parc est joliment aménagé et c'est beau.,꾸미다 = décorer/aménager + -어져 있다 = état résultant passif. Décrit un lieu arrangé avec soin.
도시락,lunch box,공원에서 도시락을 먹었어요.,On a mangé nos lunchboxes au parc.,Repas préparé à l'avance dans une boîte. Très populaire pour les sorties et pique-niques en Corée.
야경,"night scape, view at night",한강에서 서울 야경을 봤어요.,On a admiré le panorama nocturne de Séoul depuis l'Han.,야 = nuit + 경 = paysage/vue. Les vues nocturnes de Séoul sont very parmi les plus belles d'Asie.
식물,plant (i.e.. grass),공원에 식물이 많아요.,Il y a beaucoup de plantes dans ce parc.,식물 = végétal/plante. Terme générique pour tout organisme végétal.
행사가 열리다,an event is held,이번 주말에 공원에서 행사가 열려요.,Ce week-end un événement est organisé dans le parc.,행사 = événement + 열리다 = s'ouvrir/se tenir. Forme passive naturelle pour annoncer un événement.
탁 트이다,to be wide open (when one can see the full landscape),전망대에서 보면 시야가 탁 트여 있어요.,Depuis l'observatoire la vue est totalement dégagée.,"탁 = onomatopée d'un espace ouvert + 트이다 = s'ouvrir. Sensation de grand espace, sans obstruction."
일상의 피로를 풀다,to escape the monotony of one's routine,공원 산책으로 일상의 피로를 풀었어요.,J'ai évacué la fatigue quotidienne en me promenant dans le parc.,일상 = quotidien + 피로 = fatigue + 풀다 = relâcher/dénouer. Expression pour se ressourcer après une journée chargée.
해가 지다,the sun sets,해가 지면 한강이 더 아름다워요.,L'Han devient encore plus beau quand le soleil se couche.,해 = soleil + 지다 = se coucher/tomber. Moment magique surtout au bord du fleuve Han.
유람선,"tour boat (on a river), cruise ship",한강에서 유람선을 탔어요.,On a pris un bateau de croisière sur l'Han.,유람 = excursion/promenade + 선 = bateau. Bateau touristique navigant sur un cours d'eau ou en mer.
환상적이다,"to be fantastic, to be amazing",유람선에서 본 야경이 환상적이었어요.,Le panorama nocturne vu depuis le bateau était fantastique.,환상 = fantastique/illusion + 적이다. Qualifie quelque chose d'extraordinaire qui dépasse les attentes.
물이 흐르다,water flows,공원 옆으로 물이 흘러요.,L'eau coule à côté du parc.,물 = eau + 흐르다 = couler. Décrit le mouvement naturel d'un cours d'eau.
배경,"background, backdrop",사진을 찍을 때 배경이 중요해요.,Le fond est important quand on prend des photos.,배경 = arrière-plan/fond. Désigne l'environnement visuel derrière le sujet principal.
공연을 감상하다,to watch a performance,야외에서 공연을 감상했어요.,On a regardé un spectacle en plein air.,감상하다 = apprécier/savourer. Plus que simplement regarder : implique une appréciation artistique active.
분수,fountain (i.e.. in a park),광장에 분수가 있어요.,Il y a une fontaine sur la place.,Jet d'eau décoratif dans un espace public. Points de rendez-vous populaires dans les parcs coréens.
놀이터,"playground, neighbourhood park",아이들이 놀이터에서 놀고 있어요.,Les enfants jouent sur l'aire de jeux.,놀이 = jeu + 터 = espace/terrain. Espace équipé pour les jeux des enfants. Très présent dans les parcs et quartiers coréens.
남녀노소,"men and woman, old and young (everyone, regardless of gender)",남녀노소 모두 즐길 수 있는 공원이에요.,C'est un parc que tout le monde peut apprécier quelle que soit l'âge ou le genre.,Expression idiomatique signifiant « tout le monde sans exception ». 남 = hommes + 녀 = femmes + 노 = vieux + 소 = jeunes.
윈드서핑,windsurfing,한강에서 윈드서핑을 배워 보고 싶어요.,J'aimerais apprendre le windsurf sur l'Han.,Sport nautique combinant surf et voile. Pratiqué sur le fleuve Han avec des conditions favorables.
수상스키,waterskiing,여름에 수상스키를 즐겼어요.,On a profité du ski nautique en été.,"수상 = sur l'eau + 스키 = ski. Sport nautique populaire l'été en Corée, notamment sur le lac Soyang."
야외 수영장,outdoor swimming pool,여름에 야외 수영장이 개방돼요.,Les piscines extérieures ouvrent en été.,야외 = plein air + 수영장 = piscine. Les parcs au bord du fleuve Han ont des piscines estivales accessibles.
나눔 장터,community market,주말에 나눔 장터가 열려요.,Un marché communautaire a lieu le week-end.,나눔 = partage + 장터 = marché. Marché où les habitants échangent ou donnent des objets d'occasion.
즐거움이 두 배가 되다,to double the fun,친구와 함께하면 즐거움이 두 배가 돼요.,Avec un ami le plaisir est multiplié par deux.,두 배 = deux fois + 되다 = devenir. Expression positive sur la valeur du partage des expériences.
전망대,"observatory, lookout point",남산 전망대에서 서울 전체를 볼 수 있어요.,On peut voir tout Séoul depuis l'observatoire de Namsan.,전망 = vue/perspective + 대 = plateforme. Point élevé d'où l'on observe le paysage.
눈썰매장,sledding slope,겨울에 눈썰매장에서 신나게 놀았어요.,On s'est bien amusés sur les pistes de luge en hiver.,눈 = neige + 썰매 = luge + 장 = espace. Piste de luge très appréciée des familles en hiver en Corée.
카페테리아,"cafeteria, food court",공원 안에 카페테리아가 있어요.,Il y a une cafétéria dans le parc.,"De l'anglais « cafeteria ». Espace de restauration en libre-service dans les parcs, écoles ou entreprises."
사계절 내내,"in each season, all year round (""throughout the four seasons"")",이 공원은 사계절 내내 아름다워요.,Ce parc est magnifique tout au long de l'année.,사계절 = quatre saisons + 내내 = pendant tout. Expression soulignant la beauté permanente d'un lieu.
청와대,the Blue House,청와대가 일반에 개방됐어요.,La Maison Bleue a été ouverte au public.,Ancienne résidence officielle du président sud-coréen. Ouverte au public en 2022. Nom littéral = « maison au toit bleu ».
북악산,Bukak Mountain (behind the Blue House),북악산 등산로가 다시 개방됐어요.,Le sentier de randonnée du mont Bugak a été rouvert.,Montagne derrière l'ancienne présidence à Séoul. Longtemps fermée pour raisons de sécurité après l'incident du 21 janvier 1968.
성곽길,the trail following the old city wall,서울 성곽길을 걸어봤어요?,Vous avez essayé de marcher sur le chemin de l'ancienne muraille de Séoul ?,성곽 = enceinte/muraille + 길 = chemin. Sentier touristique longeant les remparts historiques de Séoul.
어디론가,"somewhere (as in ""going somewhere"")",어디론가 여행을 떠나고 싶어요.,J'ai envie de partir quelque part en voyage.,"어디 + 론가 = vers quelque part. Exprime un désir flou de partir, sans destination précise."
화창하다,"to be nice, to be clear (weather)",오늘은 날씨가 화창해요.,Le temps est magnifique aujourd'hui.,Adjectif décrivant un temps clair et ensoleillé. Mot très utilisé lors des bulletins météo coréens.
붐비다,"to be bustling, to be crowded",주말에 한강공원은 정말 붐벼요.,Le parc du fleuve Han est vraiment bondé le week-end.,Décrit un lieu plein de monde et d'animation. Souvent utilisé pour les marchés et parcs populaires.
풍경,"scenery, landscape",가을에는 풍경이 정말 아름다워요.,Le paysage est vraiment magnifique en automne.,풍 = vent/ambiance + 경 = vue. Panorama naturel ou urbain qui s'offre au regard.
1.21 상태,"North Korean commando attack on the Blue House on January 21st, 1968",1.21 사태 이후 북악산이 통제됐어요.,Après l'incident du 21 janvier le mont Bugak a été fermé.,"Tentative d'assassinat du président Park 정희 par des commandos nord-coréens. L'incident a conduit à fermer la zone pendant des décennies."
통제되다,"to be placed off limits, to be closed",보안상의 이유로 이 지역이 통제됐어요.,Cette zone a été fermée pour des raisons de sécurité.,통제 = contrôle/restriction + 되다 = être (passif). Mise en place de restrictions d'accès par les autorités.
개방되다,to be opened to the public,오랫동안 통제됐던 곳이 드디어 개방됐어요.,Le lieu longtemps fermé a enfin été ouvert au public.,개방 = ouverture + 되다. Levée des restrictions permettant l'accès libre à un lieu.
보호되다,"to be protected, to be preserved",이 지역의 자연이 잘 보호되고 있어요.,La nature de cette zone est bien préservée.,보호 = protection + 되다 (passif). Mesures de conservation d'un environnement naturel ou d'un site historique.
신분증을 제시하다,to show one's ID card,입장하려면 신분증을 제시해야 해요.,Pour entrer il faut montrer sa pièce d'identité.,신분증 = carte d'identité + 제시하다 = présenter/montrer. Procédure obligatoire dans les lieux sécurisés.
출입증,a pass (that allows one to enter a certain area),방문자는 출입증을 받아야 해요.,Les visiteurs doivent recevoir un badge d'accès.,출입 = entrée et sortie + 증 = carte/document. Badge autorisant l'accès à une zone réglementée.
목에 걸다,to hang (something) around one's neck,출입증을 목에 걸고 들어가세요.,Mettez votre badge autour du cou avant d'entrer.,목 = cou + 걸다 = accrocher/suspendre. Geste courant pour porter son badge dans les lieux officiels.
평상시,ordinarily,평상시에는 조용한 동네예요.,C'est habituellement un quartier calme.,평상시 = dans les conditions ordinaires. Proche de 평소 mais met encore plus l'accent sur la normalité de la situation.
한참,"for a while, for a long time",한참 동안 기다렸어요.,J'ai attendu un bon moment.,한참 = un long moment/une bonne durée. Exprime une durée subjective qui semble longue.
구조,"structure, composition, organization",이 건물의 구조가 특이해요.,La structure de ce bâtiment est unique.,구조 = structure/composition. S'utilise pour décrire l'organisation physique ou conceptuelle de quelque chose.
한눈에 보이다,to be seen at a glance,지도가 있으면 전체 구조가 한눈에 보여요.,Avec une carte toute la structure est visible d'un seul coup d'œil.,한눈 = un seul coup d'œil + 보이다 = être visible. Exprimer qu'on comprend ou voit tout immédiatement.
전망이 좋다,the view is good,이 카페는 전망이 정말 좋아요.,La vue depuis ce café est vraiment magnifique.,전망 = perspective/panorama + 좋다 = être bon. Qualité très recherchée pour les restaurants et cafés coréens.
북한,North Korea,북한과 남한은 아직 분단되어 있어요.,La Corée du Nord et la Corée du Sud sont encore divisées.,북한 = Nord + 한 = Corée. Dans le contexte de l'histoire coréenne depuis 1945 et la guerre de Corée.
간첩,spy,간첩이 침투했다는 소식이 들렸어요.,On a entendu dire qu'un espion avait infiltré.,Agent secret envoyé par un pays ennemi. Dans le contexte coréen notamment lié aux tensions avec le Nord.
총,gun,총소리가 들렸어요.,On a entendu des coups de feu.,총 = arme à feu. Terme générique pour désigner un pistolet ou un fusil.
총싸움,gunfight,영화에서 긴 총싸움 장면이 있었어요.,Il y avait une longue scène de fusillade dans le film.,총 = arme + 싸움 = combat/bagarre. Échange de coups de feu entre deux parties.
자국,"marks, tracks, trail (a physical impression left by some object)",북악산 성벽에 총알 자국이 남아 있어요.,Des marques de balles restent visibles sur les remparts du mont Bugak.,자국 = trace/marque laissée physiquement. Empreinte durable sur une surface.
정상,"the peak, the highest point",산 정상에 오르면 멋진 전망이 펼쳐져요.,Une vue magnifique s'offre à soi quand on atteint le sommet.,정상 = sommet. S'utilise pour les montagnes mais aussi en expression figurée (le "top" de quelque chose).
-으로 둘러싸여 있다,to be surrounded by -,서울은 산으로 둘러싸여 있어요.,Séoul est entourée de montagnes.,둘러싸다 = entourer + -어 있다 = état. Décrit un espace entouré de toutes parts par quelque chose.
반납하다,to return,출입증을 반납해야 해요.,Il faut rendre le badge.,반납 = retour d'un objet emprunté + 하다. Remettre quelque chose dont on avait eu l'usage temporaire.
-으로 떠나다,"to head for -, to leave in the direction of -",제주도로 떠났어요.,On est partis vers l'île de Jeju.,떠나다 = quitter/partir + -으로 = en direction de. Exprimer le départ vers une destination.
탐방 코스,"hiking trail, exploration course",북악산 탐방 코스가 인기 있어요.,Le parcours d'exploration du mont Bugak est populaire.,탐방 = exploration/visite + 코스 = parcours. Itinéraire guidé pour découvrir un site naturel ou historique.
블로그,blog,여행 후기를 블로그에 올렸어요.,J'ai posté mon compte rendu de voyage sur mon blog.,"Emprunt de l'anglais « blog ». Très populaire en Corée, notamment pour les avis food et voyage."
,,,,
6과,,,,
사슴,deer,숲에서 사슴을 봤어요.,J'ai vu un cerf dans la forêt.,Animal sauvage emblématique des forêts coréennes. Dans les contes il est souvent blanc et symbolise la grâce.
쫓아오다,to chase,사냥꾼이 사슴을 쫓아왔어요.,Le chasseur a poursuivi le cerf.,쫓다 = chasser/poursuivre + 아오다 = venir. Indique que quelqu'un vient en courant dans la même direction que le sujet.
살려 주세요,Help me !,살려 주세요! 사냥꾼이 쫓아와요!,Au secours ! Le chasseur me pourchasse !,살리다 = sauver la vie + -아 주세요 = s'il vous plaît (pour quelqu'un). Cri de détresse urgent.
얼른,"quickly, at once",얼른 숨어요!,Cachez-vous vite !,"얼른 = rapidement, sans tarder. Mot familier et énergique pour inciter à agir immédiatement."
숨겨주다,to hide someone from danger,나무꾼이 사슴을 숨겨줬어요.,Le bûcheron a caché le cerf.,숨기다 = cacher + -아 주다 = faire pour quelqu'un. Geste de protection face à un danger imminent.
뛰어오다,"to run up to, to run towards",사슴이 나무꾼에게 뛰어왔어요.,Le cerf est venu en courant vers le bûcheron.,뛰다 = courir/sauter + 아오다 = venir. Mouvement dynamique en direction de quelqu'un.
가리키다,to point at,사슴이 연못을 가리켰어요.,Le cerf a pointé vers l'étang.,Geste de désignation avec le doigt ou la patte. Peut aussi indiquer une direction.
은혜를 갚다,to return a favor,사슴이 나무꾼의 은혜를 갚기로 했어요.,Le cerf a décidé de rembourser la faveur du bûcheron.,은혜 = grâce/faveur reçue + 갚다 = rembourser. Valeur culturelle forte en Corée : toujours rendre ce qu'on a reçu.
소원,wish,소원이 뭐예요?,Quel est votre vœu ?,Désir profond que l'on espère voir exaucé. Souvent utilisé dans les contes et lors de fêtes comme le Nouvel An.
그러자,"After that, at that",그러자 갑자기 하늘이 맑아졌어요.,Alors soudainement le ciel s'est éclairci.,Connecteur narratif pour indiquer ce qui se passe immédiatement après. Typique des contes.
장가를 가다,to get married (man),나무꾼이 드디어 장가를 갔어요.,Le bûcheron s'est finalement marié.,Expression traditionnelle pour le mariage masculin. Équivalent de 시집가다 pour les femmes.
비밀,secret,이건 우리 둘만의 비밀이에요.,C'est notre secret à tous les deux.,Information qu'on ne doit pas révéler. Souvent au cœur des tensions dans les contes coréens.
보름달,full moon,보름달이 정말 밝고 아름다워요.,La pleine lune est vraiment brillante et belle.,"보름 = 15ème jour du mois lunaire + 달 = lune. La pleine lune est importante dans les fêtes (추석, 대보름)."
보름달이 뜨다,the full moon rises,보름달이 뜨는 날 선녀들이 내려와요.,Les fées descendent le jour où la pleine lune se lève.,뜨다 = se lever/monter (pour un astre). Expression poétique du lever de la pleine lune.
산꼭대기,"mountaintop, summit",산꼭대기에 오르면 구름을 만져요.,"En haut du sommet, on touche les nuages.",산 = montagne + 꼭대기 = point le plus haut. Mettre l'accent sur le sommet très élevé.
연못,a pond,산꼭대기에 작은 연못이 있어요.,Il y a un petit étang au sommet de la montagne.,Étendue d'eau calme et peu profonde. Dans ce conte coréen les fées descendent pour se baigner dans l'étang.
선녀,a fairy,선녀들이 연못에서 목욕을 했어요.,Les fées ont pris un bain dans l'étang.,Être surnaturel féminin beau et pur dans la mythologie coréenne. Vivent au ciel et descendent parfois sur Terre.
날개옷,winged clothing,나무꾼이 선녀의 날개옷을 숨겼어요.,Le bûcheron a caché la robe ailée de la fée.,날개 = ailes + 옷 = vêtement. Vêtement magique permettant aux fées de retourner au ciel.
아기를 낳다,to give birth,선녀가 세 아이를 낳을 때까지 기다려야 해요.,Il faut attendre jusqu'à ce que la fée accouche de trois enfants.,낳다 = mettre au monde. Verbe pour l'accouchement. Dans ce conte le conseil du cerf fixe la condition de révéler l'habit.
절대로 안/못,"never, absolutely not",날개옷을 절대로 돌려주면 안 돼요.,Il ne faut absolument jamais rendre la robe ailée.,절대로 = absolument + 안/못 = ne pas. Renforce l'interdiction ou l'impossibilité de manière extrême.
몰래,secretly,나무꾼이 몰래 날개옷을 돌려줬어요.,Le bûcheron a rendu la robe ailée en secret.,Adverbe indiquant une action faite sans que les autres le sachent. Souvent associé à une transgression dans les contes.
아기를 안다,To hold a baby,엄마가 아기를 살며시 안았어요.,La mère a doucement tenu son bébé dans les bras.,안다 = tenir dans ses bras/embrasser. Geste tendre de protection envers un nourrisson.
훨훨 날다,fly with ease,선녀가 훨훨 날아서 하늘로 올라갔어요.,La fée s'est envolée légèrement vers le ciel.,훨훨 = onomatopée du vol gracieux et libre. Décrit un vol léger sans effort.
의성어,onomatopoetic words,한국어에는 의성어가 매우 많아요.,Il y a énormément de mots onomatopéiques en coréen.,의성어 = mots qui imitent des sons réels. Riche catégorie de la langue coréenne avec des nuances très précises.
훨훨,flapping wings,새가 훨훨 날아가요.,L'oiseau s'envole en battant des ailes.,Imitation du son et du mouvement des ailes. Évoque une légèreté et une liberté totale dans le vol.
훌쩍훌쩍,crying,아이가 훌쩍훌쩍 울었어요.,L'enfant pleurait en reniflant.,Imitation du son de quelqu'un qui pleure en reniflant. Plus discret que 엉엉 (pleur bruyant).
의태어,mimetic word,의태어는 모양이나 동작을 흉내 내는 말이에요.,Les mots mimétiques imitent des formes ou des mouvements.,의태어 = mots imitant des états ou mouvements visuels. Complémentaires des 의성어 (son).
끄덕끄덕,nodding one's head,아이가 끄덕끄덕 고개를 끄덕였어요.,L'enfant a hochait la tête d'un signe d'acquiescement.,Répétition visuelle du hochement de tête. Indique l'accord ou la compréhension.
소곤소곤,speaking in hushed tones to keep other people from hearing,두 사람이 소곤소곤 이야기했어요.,Les deux personnes parlaient en chuchotant.,Imitation du son doux du chuchotement. Contraste avec 와글와글 (bruit de foule).
글썽글썽,brimming with tears,눈이 글썽글썽해요. 무슨 일이 있어요?,Vos yeux sont pleins de larmes. Il se passe quelque chose ?,Mot mimétique décrivant les yeux brillants de larmes retenues. Avant de vraiment pleurer.
활짝,wide (as when opening a door),문을 활짝 열었어요.,On a ouvert la porte en grand.,활짝 = complètement ouvert. S'utilise aussi pour les fleurs (활짝 피다 = s'épanouir pleinement).
나비,butterfly,봄에 나비가 꽃 위를 날아다녀요.,Au printemps les papillons voltigent au-dessus des fleurs.,Insecte léger et gracieux. Symbole de transformation et de liberté dans la culture coréenne.
고개,head,고개를 끄덕이거나 저으세요.,Hochez ou secouez la tête.,고개 = tête ou col de montagne selon le contexte. Ici désigne la tête dans un geste corporel.
올려다 보다,to look up,하늘을 올려다 봤어요.,J'ai levé les yeux vers le ciel.,올리다 = lever + 다 보다 = regarder dans une direction. Contraire de 내려다 보다 (regarder vers le bas).
꼬리를 흔들다,to wag one's tail,강아지가 꼬리를 흔들어요.,Le chien remue la queue.,꼬리 = queue + 흔들다 = agiter/secouer. Geste d'émotion ou de salutation chez l'animal.
이야기를 지어내다,to make up a story,그 이야기는 지어낸 거예요.,Cette histoire est inventée.,지어내다 = fabriquer/inventer. Raconter quelque chose qui n'est pas vrai.
불쌍하다,"to be pitiful, to be poor",이 이야기의 나무꾼이 불쌍해요.,Le bûcheron de cette histoire est pitoyable.,Sentiment de compassion et de pitié envers quelqu'un dans une situation difficile.
속이다,"to trick, to deceive",나무꾼이 선녀를 속였어요.,Le bûcheron a trompé la fée.,Amener quelqu'un à croire quelque chose de faux. Acte moral négatif dans les contes.
용서하다,to forgive,선녀가 나무꾼을 용서했나요?,Est-ce que la fée a pardonné au bûcheron ?,용서 = pardon + 하다. Acte de grâce permettant de relâcher la rancœur envers quelqu'un qui a mal agi.
감동을 받다,"to be touched, to be moved",이 이야기에 감동을 받았어요.,J'ai été profondément touché par cette histoire.,감동 = émotion profonde + 받다 = recevoir. Être ému jusqu'au cœur par quelque chose.
두레박,a bucket,두레박으로 물을 길었어요.,On a tiré de l'eau avec le seau.,Seau traditionnel coréen utilisé avec une corde pour puiser l'eau dans un puits.
물을 퍼 가다,to scoop up water,선녀들이 연못에서 물을 퍼 갔어요.,Les fées ont puisé de l'eau dans l'étang.,퍼다 = puiser/écoper + 가다 = s'en aller avec. Prendre de l'eau et partir avec.
말,horse,말을 타고 빨리 달릴 수 있어요.,On peut aller vite à cheval.,Animal de transport traditionnel. Symbole de vitesse et de puissance dans la culture coréenne.
땅,ground,땅에 씨앗을 심었어요.,On a planté des graines dans la terre.,땅 = sol/terre. Désigne la surface du sol ou la terre en général.
활짝 웃다,to smile brightly,그 소식을 듣고 활짝 웃었어요.,En entendant cette nouvelle on a souri largement.,활짝 = en grand/pleinement + 웃다 = sourire. Sourire large et spontané exprimant une joie pure.
땅을 밟다,to step on the ground,오랜만에 고향 땅을 밟았어요.,J'ai foulé le sol de mon pays natal pour la première fois depuis longtemps.,밟다 = marcher sur/fouler. Geste symboliquement fort notamment pour le retour au pays.
끄덕거리다,to nod one's head (in agreement),선생님 말씀에 끄덕거렸어요.,J'ai hoché la tête en écoutant le professeur.,-거리다 = suffixe indiquant une répétition ou une continuité du mouvement. Forme continue de 끄덕이다.
뵙다,"to see, to meet",오랜만에 선생님을 뵙게 되었어요.,J'ai eu l'occasion de rencontrer mon professeur après longtemps.,"Form honorifique de 보다 (voir/rencontrer). S'utilise uniquement pour une personne de rang supérieur (supérieur, professeur, parents)."
어머니 얼굴을 뵙다,to visit one's mother,어머니 얼굴을 다시 뵐 수 있어서 너무 행복해요.,Je suis si heureux de pouvoir revoir le visage de ma mère.,Expression affective et respectueuse pour dire qu'on revoit sa mère. Le verbe 뵙다 marque le profond respect.
꿈만 같다,to be like (only) a dream,이 일이 꿈만 같아요.,Tout cela me semble être un rêve.,Expression pour quelque chose d'incroyablement beau ou heureux qui paraît irréel.
편찮으시다,to be sick,할머니께서 편찮으세요.,Ma grand-mère est malade.,"Forme honorifique de 아프다 (être malade). S'utilise uniquement pour les personnes âgées ou de rang élevé."
편찮으신 데는 없으시지요?,"You are in good health, right?",할아버지 편찮으신 데는 없으시지요?,Grand-père vous allez bien n'est-ce pas ?,"Question polie et bienveillante pour demander des nouvelles de la santé d'un aîné. Très respectueux, doublement honorifique."
얘야,boy ! Girl !,얘야 이리 와 봐라.,Mon garçon/Ma fille viens par ici.,"Terme affectueux utilisé par les adultes plus âgés pour s'adresser à un enfant. Familier, chaleureux."
죽,porridge,할머니가 죽을 만들어 주셨어요.,La grand-mère a préparé de la bouillie.,Plat coréen de riz cuit longuement dans beaucoup d'eau. Donné aux malades ou aux jeunes enfants.
등,back,등이 아파요.,J'ai mal au dos.,Partie postérieure du torse. Aussi utilisé pour indiquer « on son dos » (등에 업다 = porter sur le dos).
쏟다,to spill,물을 쏟았어요. 죄송합니다.,J'ai renversé de l'eau. Je suis désolé.,"쏟다 = renverser/répandre accidentellement. Dans le conte, le fils renverse la bouillie sur le dos de sa mère."
날개를 펴다,to spread one's wings,선녀가 날개를 펴고 날아올랐어요.,La fée a déployé ses ailes et s'est envolée.,날개 = aile + 펴다 = étendre/déployer. Geste de liberté retrouvée. Peut aussi s'utiliser au sens figuré.
