한글,French,Example Sentence,Translated Sentence,Explanation
양이 많다,être en grande quantité,이번 주 일의 양이 많아요.,Il y a beaucoup de travail cette semaine.,"Beaucoup de volume (workload, pages à imprimer, etc.)."
여성,femme (sexe),여성 고객이 많아요.,Il y a beaucoup de clientes.,Catégorie « femmes »; contexte démographique/marketing.
콩나물,germes de soja,콩나물 국을 만들었어요.,J’ai fait une soupe de germes de soja.,Aliment courant; vocabulaire culinaire.
관람하다,"assister/visiter (expo, spectacle)",전시회를 관람했어요.,J’ai visité l’exposition.,Registre formel pour « voir » un spectacle/expo.
남다,rester (rester en surplus),종이가 좀 남았어요.,Il reste un peu de papier.,Rester après utilisation; surplus/temps/argent.
음식이 남다,il reste de la nourriture,음식이 많이 남았어요.,Il reste beaucoup de nourriture.,Construction spécifique avec 음식; surplus après repas/événement.
무시하다,"ignorer, mépriser",규칙을 무시하면 안 돼요.,Il ne faut pas ignorer les règles.,Ne pas tenir compte / mépriser; nuance parfois forte.
올리다,"monter, mettre en ligne",사진을 올렸어요.,J’ai mis en ligne une photo.,Monter (prix/volume) ou uploader (post). Polyvalent.
글을 올리다,publier un post,공지사항에 글을 올렸어요.,J’ai publié un post dans les annonces.,Poster un message sur forum/site/app interne.
포장하다,emballer,선물을 예쁘게 포장했어요.,J’ai joliment emballé le cadeau.,Wrapping/packaging; aussi take‑out.
곤란하다,"embarrassant, délicat",지금은 곤란합니다.,"Désolé, c’est délicat en ce moment.",Difficile/incommode; formule polie de refus.
물에 빠뜨리다,faire tomber dans l’eau,폰을 물에 빠뜨렸어요.,J’ai fait tomber le téléphone dans l’eau.,Causatif: on a laissé tomber qqch dans l’eau (damage risk).
예를 들면,par exemple,"예를 들면, 이런 경우예요.","Par exemple, c’est ce cas‑là.",Introduit un exemple explicatif (for example).
오고 가다,aller et venir,서류가 부서 간에 오고 가요.,Les documents vont et viennent entre services.,Mouvement répété (back and forth); fréquent en logistique/bureau.
포장되어 있다,être emballé,제품이 단단히 포장되어 있어요.,Le produit est solidement emballé.,État passif: déjà emballé/conditionné.
할 수 없이,"à contrecœur, faute de mieux",할 수 없이 A/S 센터에 맡겼어요.,"Faute de mieux, j’ai laissé l’appareil au SAV.",« Unavoidably »: on n’a pas le choix; nuance de résignation.
,,,,
7과,,,,
업무,tâches professionnelles / duties,업무가 많아서 야근했어요.,J’ai fait des heures sup car j’avais beaucoup de tâches.,"Ensemble des missions au travail (work duties). Terme général, formel."
일반 업무,tâches générales,일반 업무를 먼저 처리하세요.,Traitez d’abord les tâches générales.,"Routine quotidienne (admin, mails, rapports) par opposition aux projets spéciaux."
교육,formation,신입 사원 교육을 받았어요.,J’ai suivi la formation des nouveaux.,"Training/éducation interne pour compétences, conformité, etc."
마케팅,marketing,마케팅 전략을 세웠어요.,On a établi une stratégie marketing.,"Promotion, positionnement, étude de marché; souvent lié à 홍보."
홍보,communication/promo,신제품 홍보를 강화했어요.,Nous avons renforcé la promo du nouveau produit.,"PR/communication (publicité, médias, image de marque)."
프로젝트,projet,프로젝트가 이번 주에 끝나요.,Le projet se termine cette semaine.,Travail limité dans le temps avec objectifs et livrables.
담당하다,être en charge de,저는 해외 영업을 담당해요.,Je suis en charge des ventes à l’étranger.,Assumer la responsabilité officielle d’une tâche/zone.
맡다,prendre en charge,이번 보고서는 제가 맡을게요.,Je prends ce rapport en charge.,Verbe courant « prendre un rôle/une tâche ». Moins formel que 담당하다.
인정받다,être reconnu,성과로 인정받았어요.,J’ai été reconnu pour mes résultats.,Recevoir la reconnaissance (boss/entreprise/clients).
보람을 느끼다,trouver ça gratifiant,일하면서 큰 보람을 느꼈어요.,J’ai trouvé mon travail très gratifiant.,Sentiment de valeur/sens après un effort utile.
구인 광고,annonce de recrutement,신문에 구인 광고가 났어요.,Une annonce d’emploi est parue dans le journal.,"Job ad. Pub pour embaucher (en ligne, journal)."
경험자,personne expérimentée,경험자 우대,Expérience souhaitée,Candidat avec expérience préalable; souvent mention « 우대 » (préférence).
아르바이트생,étudiant·e en job / employé à temps partiel,주말 아르바이트생을 구해요.,On cherche un·e part-timer pour le week-end.,Part‑time worker (souvent étudiant). Abrégé: 알바.
인턴사원,stagiaire (intern),인턴사원으로 일했어요.,J’ai travaillé comme stagiaire.,Emploi temporaire d’apprentissage en entreprise.
정식 사원,employé titulaire (CDI),인턴 후 정식 사원이 됐어요.,"Après le stage, je suis devenu employé titulaire.",Full‑time official employee (permanent staff).
모집하다,recruter (appeler des candidatures),신입을 모집합니다.,Nous recrutons des juniors.,Lancer un appel à candidatures (to recruit).
사람을 뽑다,embaucher (sélectionner),이번에 세 명을 뽑았어요.,On a embauché trois personnes.,Sélection effective de candidats (to hire).
~에 지원하다,postuler à ~,마케팅팀에 지원했어요.,J’ai postulé à l’équipe marketing.,Soumettre sa candidature à un poste/équipe.
~이/가 ~으로 채용되다,être recruté comme ~,그는 기획자로 채용됐어요.,Il a été recruté comme planner.,Résultat passif de l’embauche (hired as).
경쟁률이 높다,fort taux de concurrence,경쟁률이 아주 높았어요.,La concurrence était très forte.,Beaucoup de candidats par poste; sélectif.
보수,rémunération,보수가 어떤가요?,Quelle est la rémunération ?,Salaire/rémunération globale (peut inclure primes).
신문사,société de presse,신문사에서 일하고 싶어요.,Je veux travailler dans un journal.,Entreprise qui publie un quotidien (newspaper company).
자격증,certificat/diplôme pro,자격증이 있으면 유리해요.,Avoir un certificat est un atout.,"Certification professionnelle (compta, IT, langues)."
자격증을 따다,obtenir un certificat,정보처리 자격증을 땄어요.,J’ai obtenu un certif d’informatique.,Passer et réussir une certification (earn).
조언,conseil,선배에게 조언을 구했어요.,J’ai demandé conseil à mon aîné.,Advice. Souvent auprès de seniors/mentors.
조언을 듣다,écouter un conseil,상사의 조언을 들었어요.,J’ai écouté les conseils du supérieur.,Recevoir/tenir compte des conseils.
격려하다,encourager,팀을 격려해 주셨어요.,Il·Elle a encouragé l’équipe.,Donner du courage/motivation (to encourage).
문의하다,se renseigner,일정에 대해 문의했어요.,Je me suis renseigné sur le planning.,Demander des infos à un service (inquire).
문의 전화,appel de renseignement,문의 전화가 많아요.,On reçoit beaucoup d’appels d’info.,Appel entrant pour poser des questions.
~이/가 정해지다,être fixé/décidé,면접 날짜가 정해졌어요.,La date d’entretien est fixée.,Décision finale prise (passif de 정하다).
~이/가 진행되다,se dérouler/être en cours,채용이 순조롭게 진행돼요.,Le recrutement se déroule bien.,Processus en cours (progress).
보험 회사,compagnie d’assurances,보험 회사에서 일해요.,Je travaille dans une compagnie d’assurances.,"Secteur assurance (produits, sinistres)."
필요한 게 있으면 언제든지 말씀하세요,Dites si vous avez besoin de quoi que ce soit,필요한 게 있으면 언제든지 말씀하세요.,N’hésitez pas si vous avez besoin de quelque chose.,Formule polie d’aide/disponibilité (service mindset).
한스 씨라면 잘할 수 있을 거예요,"Hans, vous y arriverez",한스 씨라면 잘할 수 있을 거예요.,"Si c’est Hans, il s’en sortira très bien.",Encouragement personnalisé; montre confiance.
동남아,Asie du Sud‑Est,동남아로 출장을 갔어요.,Je suis parti en mission en Asie du Sud‑Est.,"Région (SEA): Thaïlande, Vietnam, etc."
사회,société (monde social),사회 경험이 부족해요.,Il me manque d’expérience sociale.,« Society » ou présentation d’évènements (MC) selon contexte.
사회 경험,expérience sociale,사회 경험을 쌓고 있어요.,J’accumule de l’expérience sociale.,"Expériences hors école: travail, bénévolat, interactions."
사회생활,vie en société/vie pro,사회생활이 쉽지 않네요.,La vie en société n’est pas facile.,S’adapter aux codes du monde pro/social.
해외여행,voyage à l’étranger,첫 해외여행이에요.,C’est mon premier voyage à l’étranger.,Voyages hors du pays (tourisme).
게다가,en plus/de plus,"바쁘고, 게다가 아파요.","Je suis occupé, et en plus je suis malade.",Ajoute un argument; renforce une justification.
경험을 쌓다,accumuler de l’expérience,현장에서 경험을 쌓았어요.,J’ai accumulé de l’expérience sur le terrain.,Build experience par pratique répétée.
긴장이 되다,être tendu/stressé,면접이라 긴장이 돼요.,Je suis tendu à cause de l’entretien.,Devenir nerveux (get nervous).
경력,expérience pro (CV),5년 경력이 있어요.,J’ai 5 ans d’expérience.,Expérience de travail formelle; rubrique clé d’un CV.
면접,entretien (d’embauche),내일 면접이 있어요.,J’ai un entretien demain.,Recrutement; aussi 대학 면접.
출퇴근하다,faire l’aller-retour travail,지하철로 출퇴근해요.,Je vais au travail en métro.,Commute quotidien (aller + retour).
관광지,site touristique,유명한 관광지를 방문했어요.,J’ai visité un site touristique célèbre.,Lieu d’intérêt pour touristes.
동유럽,Europe de l’Est,동유럽 여행을 계획해요.,Je planifie un voyage en Europe de l’Est.,"Région: Pologne, Hongrie, etc."
목적,but/objectif,여행 목적이 뭐예요?,Quel est l’objectif du voyage ?,"Purpose (business, tourisme, visite familiale)."
미래,futur,미래 계획을 세웠어요.,J’ai fait des plans pour l’avenir.,Time à venir; projets de carrière/vie.
여행상품,produit de voyage,여행상품을 비교해 봤어요.,J’ai comparé des packages de voyage.,Packages (vol+hébergement+tours).
여행 상품 기획가,concepteur de produits de voyage,꿈은 여행 상품 기획가예요.,Mon rêve est de devenir concepteur de voyages.,Rôle qui conçoit/assemble des packages touristiques.
성별,sexe/genre,성별을 기입하세요.,Indiquez votre sexe/genre.,Catégorie administrative (M/F/…).
신혼여행,voyage de noces,신혼여행으로 몰디브에 갔어요.,On est partis en lune de miel aux Maldives.,Honeymoon; segment de marché voyages.
여행지,destination de voyage,인기 있는 여행지는 어디예요?,Quelles sont les destinations populaires ?,Lieu précis du voyage (destination).
연령,tranche d’âge,연령별 선호가 달라요.,Les préférences varient selon l’âge.,Age group (démographie marketing).
일정,planning/itinéraire,일정이 빡빡해요.,Le planning est serré.,Schedule/itinerary de projet ou de voyage.
재작년,il y a deux ans,재작년에 취업했어요.,J’ai trouvé un emploi il y a deux ans.,L’année avant l’an dernier (two years ago).
휴양지,station balnéaire/lieu de détente,휴양지에서 푹 쉬었어요.,Je me suis bien reposé dans une station balnéaire.,Destination axée repos (resort).
와/과 관계되다,être lié à/en rapport avec,업무와 관계된 서류예요.,Ce sont des documents liés au travail.,Relation/pertinence entre choses (be related to).
기획하다; 계획하다,planifier; organiser,행사를 기획/계획했어요.,Nous avons planifié l’évènement.,기획: conception stratégique; 계획: plan général/calendrier.
~이/가 ~으로 예상되다,être prévu/attendu comme ~,매출이 증가할 것으로 예상돼요.,On s’attend à une hausse des ventes.,Projection/forecast (expected to be).
또한,également / de plus,"비용도 높고, 또한 시간이 걸려요.","C’est coûteux et, en plus, ça prend du temps.","Connecteur d’ajout (also, furthermore) registre écrit."
매우,très,매우 중요한 회의예요.,C’est une réunion très importante.,Adverbe « très » plus formel que 아주/너무.
3년차,de 3e année d’ancienneté,저는 3년차 마케터예요.,Je suis marketeur avec 3 ans d’ancienneté.,« Nᵉ année dans le poste/secteur » (year N).
돈이 들다,coûter de l’argent,이 과정은 돈이 많이 들어요.,Cette formation coûte cher.,Indique un coût requis (costs money).
뜨는 직업,métier en vogue,요즘 데이터 사이언스가 뜨는 직업이에요.,La data science est un métier en vogue.,Profession tendance avec forte demande.
서비스 정신,sens du service,그는 서비스 정신이 뛰어나요.,Il a un excellent sens du service.,"Attitude orientée client, proactivité et amabilité."
태도,attitude,업무 태도가 좋아요.,Son attitude au travail est bonne.,Comportement/posture pro.
성실,"assiduité, sérieux",그는 성실하기로 유명해요.,Il est réputé pour son sérieux.,"Diligence, fiabilité."
열정,"passion, motivation",일에 대한 열정이 있어요.,Il a de la passion pour son travail.,Enthousiasme/engagement.
오는 22일,le 22 (à venir),회의는 오는 22일에 있어요.,La réunion a lieu le 22 courant.,Date future proche (upcoming). Formule écrite/pro.
주 5일제,semaine de 5 jours,우리 회사는 주 5일제예요.,Notre entreprise est à 5 jours/semaine.,Semaine de travail lundi‑vendredi (weekends off).
호프집,bar à bière (hof),회사 근처 호프집에서 회식했어요.,On a fait un dîner d’équipe dans un hof près du bureau.,Bar type coréen (bière + snacks). Lieux de 회식 (sortie d’équipe).
자유롭다,être libre,비교적 근무 시간이 자유로워요.,Les horaires sont relativement libres.,Flexibilité/peu de contraintes; aussi « libre d’esprit ».
바닷물,eau de mer,바닷물은 짜요.,L’eau de mer est salée.,Mer/océan (sea water). Vocab basique de voyage/côte.
가방을 싸다,faire son sac,여행 가방을 미리 쌌어요.,J’ai fait ma valise à l’avance.,Pack your bag/valise (préparation de voyage).
외국인 등록증,carte de résident étranger,외국인 등록증을 제출하세요.,Veuillez soumettre votre carte de résident étranger.,Alien registration card (ARC) en Corée; document officiel.
재학 증명서,certificat de scolarité,재학 증명서를 발급받았어요.,J’ai obtenu un certificat de scolarité.,Preuve d’inscription active à l’université.
은행 잔고 증명서,attestation de solde bancaire,은행 잔고 증명서가 필요해요.,J’ai besoin d’une attestation de solde bancaire.,Bank balance certificate; demandes de visa/inscription.
등록금 납입 증명서,attestation de paiement des frais de scolarité,등록금 납입 증명서를 냈어요.,J’ai soumis l’attestation de paiement des frais.,Proof of tuition payment; démarches scolaires/visa.
자연스럽다,être naturel,말투가 아주 자연스러워요.,Ta façon de parler est très naturelle.,"Sans effort, fluide (langage, comportement, look)."
예절을 지키다,respecter l’étiquette,회식에서도 예절을 지켜야 해요.,"Même en dîner d’équipe, il faut respecter l’étiquette.",Politesse/protocole social adaptés à la situation.
전동차,rame de métro/train électrique,전동차가 역에 들어옵니다.,La rame arrive en station.,Terme ferroviaire pour les trains/métros électriques.
승강장,quai (plateforme),승강장에서 줄을 서세요.,Faites la queue sur le quai.,Plateforme d’embarquement en gare/métro.
새로 문을 열다,ouvrir (nouvellement),새로 문을 연 호프집이에요.,C’est un hof qui vient d’ouvrir.,"Nouvelle ouverture (magasin, resto, lieu)."
마이 보호 센터,“My Protection Center” (nom propre),마이 보호 센터에 문의하세요.,Veuillez contacter “My Protection Center”.,Nom d’établissement/service (garde/assistance). Conserver tel quel comme nom propre.
공공장소,lieu public,공공장소에서 예절을 지켜요.,Respectons l’étiquette dans les lieux publics.,"Espaces publics (transport, parcs, bâtiments)."
으니,comme/étant donné que (~으니까 forme écrite),시간이 없으니 바로 출발합시다.,"Comme on manque de temps, partons tout de suite.",Connecteur causal/raison (since/because). Register écrit/contracté.
그렇게 말씀해 주셔서 감사합니다,Merci pour vos paroles,그렇게 말씀해 주셔서 감사합니다.,"Merci de dire cela, c’est gentil.",Remercie une remarque encourageante/élogieuse; très poli.
,,,,
8과,,,,
우체국,bureau de poste,우체국에서 소포를 보냈어요.,J’ai envoyé un colis à la poste.,"Lieu pour envois (lettres/colis), services financiers basiques, mandats."
내용,contenu,박스 안의 내용을 확인해 주세요.,Vérifiez le contenu du carton.,Ce qui est à l’intérieur d’un paquet/document. Utile pour formulaires d’expédition.
박스,"boîte, carton",박스를 튼튼하게 포장했어요.,J’ai bien renforcé le carton.,Boîte d’expédition; synonyme courant de 상자.
소포,colis,소포가 오늘 도착했어요.,Le colis est arrivé aujourd’hui.,Paquet envoyé par la poste (parcel).
올려놓다,poser dessus,박스를 저울 위에 올려놓으세요.,Posez le carton sur la balance.,Mettre un objet sur une surface (table/plateau/저울).
저울,balance,저울로 무게를 쟀어요.,J’ai pesé avec la balance.,"Appareil pour mesurer le poids (poste, cuisine)."
배편,envoi par bateau,배편은 시간이 오래 걸려요.,L’envoi par bateau prend du temps.,"Chemin maritime, moins cher mais plus lent que l’avion."
항공편,envoi par avion,항공편으로 보내면 빨라요.,"Par avion, c’est rapide.",Transport aérien (air mail/air freight). Coûte plus cher.
보통 우편,courrier standard,보통 우편으로 보내 주세요.,Envoyez en courrier standard.,"Service non urgent, moins cher; suivi parfois limité."
빠른 우편,courrier express,빠른 우편으로 보내면 내일 도착해요.,"En express, ça arrive demain.","Service accéléré (EMS/express). Délai court, tarif plus élevé."
은행,banque,은행에서 환전을 했어요.,J’ai fait du change à la banque.,"Institution financière; dépôts, retraits, virements, change."
고지서,facture/avis de paiement,공과금 고지서를 냈어요.,J’ai payé la facture des charges.,"Avis officiel (eau, élec., impôts)."
금액,montant,결제 금액을 확인해 주세요.,Vérifiez le montant à régler.,Somme d’argent due/reçue (amount).
번호표를 뽑다,prendre un ticket (file),번호표를 뽑고 기다리세요.,Prenez un ticket et attendez.,Système de file à la banque/poste/admin.
비밀 번호,code secret (PIN),비밀 번호를 입력해 주세요.,Entrez votre code PIN.,Code à 4–6 chiffres pour carte/ATM.
사용료,frais d’utilisation,대여 사용료가 얼마예요?,Combien sont les frais d’utilisation ?,Fee pour utiliser un service/équipement.
수수료,commission/frais,환전 수수료가 있어요.,Il y a des frais de change.,Fee pour service financier/administratif.
수표,chèque,수표로 결제할 수 있나요?,Peut‑on payer par chèque ?,Moyen de paiement moins courant en Corée que la carte/espèces.
원화,won coréen (KRW),달러를 원화로 바꿨어요.,J’ai changé des dollars en won.,Monnaie locale; utile en change.
통장,livret de banque,통장에 입금했어요.,J’ai déposé sur mon livret.,Bankbook pour suivre transactions; parfois requis par admin.
현금,espèces,현금으로 드릴게요.,Je paierai en espèces.,Cash; opposé de carte/virement.
동전,pièce de monnaie,지갑에 동전이 없어요.,Je n’ai pas de pièces dans mon portefeuille.,"Petite monnaie, par opposition aux billets (지폐)."
현금 카드,carte de débit,현금 카드로 결제했어요.,J’ai payé par carte de débit.,Carte liée au compte pour retraits/paiements (debit card).
환율,taux de change,오늘 환율이 올랐어요.,Le taux de change a augmenté.,Rate entre monnaies; fluctue selon marché.
환전하다,exchange (de devises),공항에서 환전했어요.,J’ai changé de l’argent à l’aéroport.,Échanger une monnaie contre une autre.
출입국 관리 사무소,service immigration,출입국 관리 사무소에 가야 해요.,Je dois aller à l’immigration.,"Bureau pour visa, extension, ARC."
서명하다,signer,여기에 서명해 주세요.,"Signez ici, s’il vous plaît.",Apposer sa signature (signature).
연장하다,prolonger,비자를 연장했어요.,J’ai prolongé mon visa.,"Étendre une durée (visa, contrat, abonnement)."
인지,timbre fiscal,인지를 붙여야 합니다.,Il faut apposer un timbre fiscal.,Timbre/taxe apposé sur documents officiels.
재발급하다,"réémettre, redélivrer",통장을 재발급했어요.,J’ai fait réémettre mon livret.,Obtenir un duplicata (carte/ID/livret).
성함,nom (honorifique),성함이 어떻게 되세요?,Quel est votre nom (poliment) ?,Forme honorifique de 이름. Usage client/administratif.
깨지다,se casser (fragile),유리가 깨졌어요.,Le verre s’est cassé.,Se briser (verre/porcelaine). Colis: “깨지기 쉬움”.
떼어 내다,"décoller, détacher",스티커를 떼어 냈어요.,J’ai décollé l’autocollant.,"Enlever ce qui adhère (étiquette, scellé)."
확인 버튼,bouton « Confirmer »,확인 버튼을 눌러 주세요.,Appuyez sur le bouton Confirmer.,Bouton d’UI pour valider (OK/Confirm).
다 된 거예요?,C’est tout fini ?,이걸로 다 된 거예요?,"Avec ça, tout est fini ?",Question pour confirmer la fin de la procédure.
다 됐어요,Tout est fait.,"네, 다 됐어요.","Oui, tout est terminé.",Confirmation de fin d’opération.
미술관,musée d’art,주말에 미술관에 갔어요.,Je suis allé au musée d’art.,Lieu d’expositions d’art; syn.: 갤러리 (plus petit).
사은품,cadeau promotionnel,사은품으로 텀블러를 줘요.,Ils offrent un tumbler en cadeau.,Freebie offert lors d’achat/événement.
산책로,promenade (sentier),강변 산책로가 좋아요.,La promenade le long du fleuve est agréable.,Chemin piéton pour marcher/jogging.
선착순,"premier arrivé, premier servi",선착순 100명에게 증정.,Offert aux 100 premiers.,Règle de distribution selon ordre d’arrivée.
어린이,enfant,어린이 입장료가 할인돼요.,Tarif réduit pour enfants.,Catégorie d’âge (child).
열차,train,열차가 지연되고 있어요.,Le train a du retard.,"Train au sens large (KTX, ITX, etc.)."
예정,"prévu, programmé",행사는 3시에 예정되어 있어요.,L’événement est prévu à 15h.,Horaire planifié; s’emploie en annonces officielles.
행사,événement,지역 축제 행사가 열려요.,Un événement de festival local a lieu.,"Événement public/entreprise (festival, promo, cérémonie)."
보관하다,"entreposer, garder",짐을 보관해 드립니다.,Nous gardons vos bagages.,Stocker/garder en sécurité (locker/desk).
보호하다,protéger,유물을 잘 보호해야 해요.,Il faut bien protéger les artefacts.,Protection d’objets/personnes/environnement.
태어나다,naître,1998년에 태어났어요.,Je suis né en 1998.,Naissance (birth).
할인되다,être soldé,학생은 20% 할인돼요.,Les étudiants ont 20% de réduction.,Remise appliquée (passif).
그림을 그리다,"dessiner, peindre",취미로 그림을 그려요.,Je dessine en hobby.,Produire une image (draw/paint).
두고 가다,laisser et partir,우산을 두고 갔어요.,Il a laissé son parapluie en partant.,Oublier volontairement/involontairement un objet.
종합 안내소,Le centre d'information,종합 안내소에서 지도 받아요.,Prenez un plan au point d’info.,"Desk central d’informations (musée, parc, gare)."
이번 정류장에서 내리실 분은 벨을 눌러주시기 바랍니다,Descendez: appuyez sur le bouton,다음: “이번 정류장에서 내리실 분은 벨을 눌러주시기 바랍니다.”,"“Les passagers qui descendent à cet arrêt, appuyez sur le bouton s.v.p.”",Annonce standard de bus en Corée.
이 역은 전동차와 승강장 사이가 넓습니다,Attention à l’espace quai-train,“이 역은 전동차와 승강장 사이가 넓습니다.”,“Attention: grand espace entre le train et le quai.”,Annonce de sécurité dans le métro.
거스름돈,monnaie rendue,거스름돈 확인해 보세요.,Vérifiez votre monnaie.,Change rendu après paiement en cash.
관람객,visiteur (expo),관람객이 많아요.,Il y a beaucoup de visiteurs.,Public d’un musée/expo/spectacle (visitors).
관람,"visite (expo), visionnage",전시 관람은 6시까지예요.,La visite de l’expo est jusqu’à 18h.,Acte de voir/examiner une expo/spectacle (formal).
대여,location (prêt),유모차 대여가 가능합니다.,Location de poussettes possible.,Service de prêt/location temporaire (rental).
대여료,frais de location,대여료를 선불로 내세요.,Payez la location à l’avance.,Tarif pour emprunter/louer un bien.
대여하다,"louer, prêter",우산을 대여해 드려요.,Nous prêtons des parapluies.,Action de louer/prêter (service).
대인,tarif adulte,"대인 10,000원, 소인 5,000원.","Adulte 10 000 wons, enfant 5 000.",Catégorie tarifaire “adulte” (opposé: 소인 enfant).
소인,tarif enfant,소인은 할인돼요.,Les enfants ont un tarif réduit.,Catégorie “enfant” dans la billetterie.
독서,lecture (activité),독서를 즐겨요.,J’aime lire.,Lire des livres comme activité (reading).
매수,nombre d’exemplaires/pages,서류 매수가 몇 장이에요?,Il y a combien de pages ?,"Compte d’exemplaires/pages (printing, tickets)."
승차권,billet de transport,승차권을 구입하세요.,Achetez un billet.,Ticket de train/métro/bus longue distance.
신분증,pièce d’identité,신분증을 제시해 주세요.,Présentez votre pièce d’identité.,"ID card (carte résident, permis, passeport)."
애완동물,animal de compagnie,애완동물 반입 금지.,Animaux de compagnie interdits.,Terme traditionnel; actuel: 반려동물 (plus respectueux).
전날,la veille,전날에 예약했어요.,J’ai réservé la veille.,Le jour précédent un événement.
피해,"dommage, préjudice",피해를 입었어요.,J’ai subi un préjudice.,Dégâts ou tort; contexte légal/assurance.
피해를 주다,causer un préjudice,이웃에게 피해를 주지 마세요.,Ne dérangez pas/Ne causez pas de préjudice aux voisins.,"Faire du tort, déranger, nuire."
분리하다,séparer,쓰레기를 분리하세요.,Triez les déchets.,"Séparer en catégories (recyclage, process)."
분리수거함,bac de tri,분리수거함에 버리세요.,Jetez dans le bac de tri.,"Container de recyclage (papier, plastique, canettes)."
행동하다,"agir, se comporter",공공장소에서 바르게 행동하세요.,Comportez‑vous correctement en public.,Passer de l’intention à l’action; comportement.
구매 시,lors de l’achat,구매 시 신분증이 필요합니다.,Une pièce d’identité est requise lors de l’achat.,Formule écrite (terms & conditions): “at purchase”.
매표 시간,heures de billetterie,매표 시간은 9시부터예요.,La billetterie ouvre à 9h.,Plage horaire pour acheter des tickets.
영화 상영,projection de film,영화 상영 시간이 변경됐어요.,Les horaires de projection ont changé.,Screenings (cinéma/festival).
휴대 전화는 전원을 꺼 주시거나 진동으로 해 주십시오,Éteignez/mettez en vibreur votre téléphone,“휴대 전화는 전원을 꺼 주시거나 진동으로 해 주십시오.”,“Veuillez éteindre votre téléphone ou le mettre en mode vibreur.”,Annonce polie standard au musée/cinéma/théâtre.
계좌,compte bancaire,새 계좌를 개설했어요.,J’ai ouvert un nouveau compte.,Forme de base (pas “계좌를”).
영수증,reçu,영수증 필요하세요?,Vous voulez un reçu ?,Preuve de paiement.
